Dam_Name,ShortID,NID,GRanD_ID,IsSite,IsUSBR,IsUSACE,IsGRanD,State,OwnerTypes,PrimaryPur,IsRiverMth,delta,IsLock,yrc,yrr,yrc_source,MaxStor_m3,StorSource,Dam_Len_m,DamH_m,Longitude,Latitude,COMID,Hydroseq,DivDASqKM,Moved,FromDam,ToDam,flag,flagTerm,flagHW,countryOut,SiteTag,GRanDTag,RiverTag,DeltaTag
Columbia Mills,369563.0,WI00283,,0.0,0.0,0.0,0.0,Wisconsin,Local Government,Recreation,0.0,0.0,0.0,1914.0,,NID,98678.4,NID,28.956,4.572,-87.9753483072,43.2998085328,12162568,90014592.0,319.926,0.0,[np.float64(369475.0)],370220.0,[0],0,0,2,152206,0,0,0
Nankin Mill Dam,316300.0,MI00365,,0.0,0.0,0.0,0.0,Michigan,Local Government,Recreation,0.0,0.0,0.0,1921.0,,NID,172687.2,NID,182.88,5.1816,-83.3727103809,42.3516148644,10850236,90014612.0,163.068,0.0,,316323.0,"[0, 9]",0,1,2,0,0,0,0
Lima Upground Reservoir,343448.0,OH00528,,0.0,0.0,0.0,0.0,Ohio,Local Government,Recreation,0.0,0.0,0.0,1903.0,,NID,1940264.04,NID,2462.784,7.62,-84.0476480917,40.753002104,15653077,90014724.0,270.282,0.0,,343445.0,"[0, 9]",0,1,2,17658,17658,-118,0
Shiawassee Flats Dam,316820.0,MI01819,,0.0,0.0,0.0,0.0,Michigan,State,Recreation,0.0,0.0,0.0,1964.0,,NID,11224668.0,NID,4572.0,3.6576,-84.1045798383,43.314488076,13029213,90014831.0,881.947,0.0,,-117.0,"[0, 9]",0,1,2,0,0,-117,0
Jimmerson Lake Dam,305548.0,IN00801,,0.0,0.0,0.0,0.0,Indiana,State,Recreation,0.0,0.0,0.0,1945.0,,NID,2149955.64,NID,109.728,4.8768,-85.0817309117,41.7252176019,12262630,90014857.0,136.115,0.0,"[np.float64(305830.0), np.float64(53842.0)]",305547.0,[0],0,0,2,0,53866,-112,0
Kings Mill Dam,316304.0,MI00370,,0.0,0.0,0.0,0.0,Michigan,Local Government,Recreation,0.0,0.0,0.0,1836.0,,NID,246696.0,NID,106.68,4.2672,-85.3737031779,42.0240464014,12256236,90014866.0,457.859,0.0,,316439.0,"[0, 9]",0,1,2,0,53866,-112,0
Cedarburg Woolen Mill,369475.0,WI00168,,0.0,0.0,0.0,0.0,Wisconsin,Local Government,Recreation,0.0,0.0,0.0,1864.0,,NID,61674.0,NID,39.624,5.4864,-87.988344051,43.3014927725,12162520,90014889.0,319.424,0.0,,369563.0,"[0, 9]",0,1,2,152206,0,0,0
Ford Dam,316111.0,MI00129,,0.0,0.0,0.0,0.0,Michigan,Private,Recreation,0.0,0.0,0.0,1936.0,,NID,1850220.0,NID,152.4,7.9248,-88.4785031731,46.6444973943,11934244,90014908.0,8.21,0.0,,316158.0,"[0, 9]",0,1,2,0,0,0,0
Newburgh Dam,9766.0,MI00396,,1.0,0.0,0.0,0.0,Michigan,Local Government,Recreation,0.0,0.0,0.0,1933.0,0.0,"RESSED, https://water.usgs.gov/osw/ressed/",823965.0,"RESSED, https://water.usgs.gov/osw/ressed/",304.8,8.8392,-83.41133837,42.3664209904,10849648,90014910.0,162.552,1.0,[np.float64(316325.0)],,[10],1,0,2,0,0,0,0
White River,369865.0,WI00725,,0.0,0.0,0.0,0.0,Wisconsin,Public Utility,Hydroelectric,0.0,0.0,0.0,1907.0,,NID,826431.6,NID,243.84,9.144,-90.9097889693,46.4973397278,1815881,90014978.0,639.553,0.0,[np.float64(369742.0)],,[10],1,0,2,0,0,0,0
Skaneateles Lake Dam,90452.0,NY00414,1529.0,0.0,0.0,0.0,1.0,New York,Local Government,Recreation,0.0,0.0,0.0,1902.0,,NID,197356800.0,NID,45.72,6.7056,-76.4309452247,42.9462440528,21977153,90015016.0,199.021,0.0,[np.float64(342720.0)],342964.0,[0],0,0,2,0,90751,-120,0
Litchfield Dam,316802.0,MI01632,,0.0,0.0,0.0,0.0,Michigan,Local Government,Other,0.0,0.0,0.0,1846.0,,NID,64140.96,NID,182.88,2.4384,-84.7371716293,42.0330269026,12254500,90015181.0,2.147,1.0,,316743.0,"[0, 9]",0,1,2,0,53866,-112,0
Thompsonville Dam,316422.0,MI00507,,0.0,0.0,0.0,0.0,Michigan,Private,Recreation,0.0,0.0,0.0,1901.0,,NID,203524.2,NID,91.44,6.096,-85.9483455104,44.5290393975,12228183,90015192.0,264.443,0.0,[np.float64(316434.0)],316640.0,[0],0,0,2,0,0,0,0
West Bend,369594.0,WI00326,,0.0,0.0,0.0,0.0,Wisconsin,Local Government,Recreation,0.0,0.0,0.0,1846.0,,NID,567400.8,NID,83.82,3.9624,-88.1834670085,43.4276565518,12163522,90015205.0,607.019,0.0,"[np.float64(369596.0), np.float64(369513.0)]",369477.0,[0],0,0,2,152206,0,0,0
Mc Clure,316151.0,MI00183,,0.0,0.0,0.0,0.0,Michigan,Not Listed,Hydroelectric,0.0,0.0,0.0,1919.0,,NID,2306607.6,NID,123.444,19.5072,-87.5203379079,46.5518089944,12026482,90015213.0,367.566,0.0,[np.float64(64493.0)],316149.0,[0],0,0,2,0,0,0,0
Upper Post Lake,369854.0,WI00698,,0.0,0.0,0.0,0.0,Wisconsin,Private,Recreation,0.0,0.0,0.0,1932.0,,NID,16035240.0,NID,60.96,3.048,-89.0865359669,45.4371990026,9029495,90015248.0,296.279,0.0,[np.float64(369807.0)],369918.0,[0],0,0,2,0,118419,0,0
Chute,369469.0,WI00162,,0.0,0.0,0.0,0.0,Wisconsin,Local Government,Recreation,0.0,0.0,0.0,1937.0,,NID,6537444.0,NID,137.16,5.4864,-88.4430519065,45.1309467299,6810078,90015276.0,508.936,0.0,"[np.float64(370130.0), np.float64(370147.0), np.float64(369861.0), np.float64(369471.0)]",369890.0,"[8, 0]",0,0,2,0,0,0,0
